pool_id,total_stakes,total_rewards
1,88780177647735744,56944540649691
2,2038800492421032,516486512769
4,2688410032960260,2286132292260
6,116709132877546366,98025595508933
7,7040655264260394,3121448278908
9,10956765189527280,11327469964116
10,54223630529909148,31547025871200
11,9252199667591184,5211864913450
14,194969508067672,38709895670
15,8418226156545640,9056296468440
16,11706563983640885,5856402287518
17,9015658381584,19658767905
19,175903971605825026,140862693306578
21,2369333124288840,1613322270552
22,7366849918792938,2844990837504
23,93224110615614,91101594425
24,407739588994934,184920425307
25,33410284785892895,26975383413216
26,176305382995200,186375635072
27,118220809422012,49506053124
30,35383733325985860,22870232348700
31,1617648726896761,1285018823264
33,777503390227421,625814384052
34,6482229958230,10922108805
37,49044770106846210,39457477233449
38,1126056001280022,1415170737024
39,74388997392035728,45335127848520
40,264736760541760,77231646428
44,8184683191032672,4102787127249
46,114322995302608118,70841333762215
47,154866457113923,120125947260
49,1762212178244134,1202328849000
50,12032057938994328,8688047507070
51,204436982017189152,167040051791284
52,215877049522375920,136293496000896
54,43056089049994956,36563816604818
57,52598020608902496,33473376029940
60,2481626312768840,2467140820606
62,3645901019073232,2614458750708
63,128828404890045,100450592426
65,88085649144692508,45439856421492
67,13919270578239873,8311981800722
71,10835971476827816,7356743584945
72,17058580242400,13107072654
73,6924452119164412,5777690017416
74,5031110807555128,3793992785213
75,8391672708227484,5715078893230
76,5669016127960227,3808734836306
77,232539129078948,178573517255
81,13972349154282396,7629116748592
82,4179347454964566,2882292432899
83,289592890479499530,171380351442625
85,299084761485048,314287006020
86,133339650524192,25531364215
89,1456388592009480,1611945559512
91,14766359612874236,11051312717944
92,162509639399306895,104846017793730
93,4025177132358213,3178602734934
94,2886067451825146,1552171571446
95,8182273255464800,4476603073620
96,1214823734565236,767349365252
97,7618780093796624,4630305841374
98,3309802007893572,1879059532762
99,3741103637975790,2628208053065
100,4465184786916105,3704244560294
101,1855996604769124,1223099692465
102,8647204473229504,7327677380151
103,2680664796623734,1712339217190
105,1658163104200106,914468838897
106,5652412535408968,3902270208310
107,191960147932426,203823884800
108,38402412987471342,28421797324640
109,413698148689416900,282067155894735
110,5184503784244368,3490930049880
112,3803418470451348,1928786485704
115,103526791142719930,75322611563135
116,22908741016631470,16190194890678
118,11715655045030326,8960451246461
119,727644038174160,513882332548
121,174413421396643,451396632390
122,45955018826453088,40320046343198
123,21484851605342970,15446641320000
124,38078332579167426,18856410663173
126,40479590635955506,31476187909125
129,58227640422600,69906089880
130,22801862004899400,15836418623565
132,28950408949664566,24594239344430
133,25962410965598926,16822272277944
136,30598172315760,16765140197
138,58353939776578,48821381512
139,42800977551751300,29175842874942
141,3249914538972360,1253447208010
142,6453329916005350,6231023340512
144,17925386623875361,11673129042573
145,45340538240997560,34905005714223
147,708574907032670,571877036201
148,29347480102042080,30583797052432
150,10481151870508155,9373917833934
154,2975457677953350,2210659701432
156,93729448051003746,75270185571672
157,324869974471008,384877642336
158,264695360498057688,181717276414212
159,27056863293303957,23869228233240
161,28831533829646416,13871301827149
167,232486641984797772,152245172041086
168,36512699638667940,23779691135625
169,544995624012843,405053552211
170,244011745207380,137578761054
171,170521615820231,87457093860
172,12101344144224,19659673269
173,16944312235094208,9100242805920
174,21257899070828010,17381461645296
176,29701581931438009,22152365435200
178,846355778620876,881118583202
179,108524728457858380,56957618229842
182,19853885982248800,14412478567212
184,15778654547154248,12891346533174
